,artist,album,genre,artist_clean,album_clean,totalwords,revID,subgenre2,count,year,subgenre,topic,topic_label,img_link,audio_link,album_uri_link
0,Sam Gendel,Fresh Bread,Jazz,sam gendel,fresh bread,600,0,jazz ,2,2021,jazz,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/601c69fcfdbbf29933a7f5cb/1:1/w_320/Sam-Gendel-Fresh-Bread.jpg,,https://open.spotify.com/embed/album/3iVOk8jehk1yzUvfA9iHvC
1,Sam Gendel,Fresh Bread,Jazz,sam gendel,fresh bread,600,0,free jazz ,1,2021,jazz,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/601c69fcfdbbf29933a7f5cb/1:1/w_320/Sam-Gendel-Fresh-Bread.jpg,,https://open.spotify.com/embed/album/3iVOk8jehk1yzUvfA9iHvC
2,Sam Gendel,Fresh Bread,Jazz,sam gendel,fresh bread,600,0,cloud rap ,1,2021,hiphop/rap,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/601c69fcfdbbf29933a7f5cb/1:1/w_320/Sam-Gendel-Fresh-Bread.jpg,,https://open.spotify.com/embed/album/3iVOk8jehk1yzUvfA9iHvC
3,Sam Gendel,Fresh Bread,Jazz,sam gendel,fresh bread,600,0,chiptune ,1,2021,electronic,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/601c69fcfdbbf29933a7f5cb/1:1/w_320/Sam-Gendel-Fresh-Bread.jpg,,https://open.spotify.com/embed/album/3iVOk8jehk1yzUvfA9iHvC
4,Sam Gendel,Fresh Bread,Jazz,sam gendel,fresh bread,600,0,ambient ,2,2021,electronic,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/601c69fcfdbbf29933a7f5cb/1:1/w_320/Sam-Gendel-Fresh-Bread.jpg,,https://open.spotify.com/embed/album/3iVOk8jehk1yzUvfA9iHvC
5,Femi Kuti / Made Kuti,Legacy +,Global,femi kuti / made kuti,legacy +,493,1,afrobeat ,4,2021,global,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/602ed922e06a43d9ea0fe986/1:1/w_320/Femi%20Kuti%20&%20Made%20Kuti%20-%20Legacy+.jpg,,https://open.spotify.com/embed/album/6WgxIWDCnLtIaDYHHsJCIh
6,Femi Kuti / Made Kuti,Legacy +,Global,femi kuti / made kuti,legacy +,493,1,jazz ,1,2021,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/602ed922e06a43d9ea0fe986/1:1/w_320/Femi%20Kuti%20&%20Made%20Kuti%20-%20Legacy+.jpg,,https://open.spotify.com/embed/album/6WgxIWDCnLtIaDYHHsJCIh
7,Femi Kuti / Made Kuti,Legacy +,Global,femi kuti / made kuti,legacy +,493,1,funk ,2,2021,funk/disco,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/602ed922e06a43d9ea0fe986/1:1/w_320/Femi%20Kuti%20&%20Made%20Kuti%20-%20Legacy+.jpg,,https://open.spotify.com/embed/album/6WgxIWDCnLtIaDYHHsJCIh
8,Femi Kuti / Made Kuti,Legacy +,Global,femi kuti / made kuti,legacy +,493,1,hiphop ,1,2021,hiphop/rap,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/602ed922e06a43d9ea0fe986/1:1/w_320/Femi%20Kuti%20&%20Made%20Kuti%20-%20Legacy+.jpg,,https://open.spotify.com/embed/album/6WgxIWDCnLtIaDYHHsJCIh
9,Femi Kuti / Made Kuti,Legacy +,Global,femi kuti / made kuti,legacy +,493,1,musical ,1,2021,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/602ed922e06a43d9ea0fe986/1:1/w_320/Femi%20Kuti%20&%20Made%20Kuti%20-%20Legacy+.jpg,,https://open.spotify.com/embed/album/6WgxIWDCnLtIaDYHHsJCIh
10,Archie Shepp / Jason Moran,Let My People Go,Jazz,archie shepp / jason moran,let my people go,687,2,jazz ,5,2021,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/6026aecd8bff13f31ec23444/1:1/w_320/Archie%20Shepp%20&%20Jason%20Moran%20-%20Let%20My%20People%20Go.jpg,,https://open.spotify.com/embed/album/3nD9Oab8M4sCLNmqmwSOdA
11,Archie Shepp / Jason Moran,Let My People Go,Jazz,archie shepp / jason moran,let my people go,687,2,blues ,1,2021,blues/soul,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/6026aecd8bff13f31ec23444/1:1/w_320/Archie%20Shepp%20&%20Jason%20Moran%20-%20Let%20My%20People%20Go.jpg,,https://open.spotify.com/embed/album/3nD9Oab8M4sCLNmqmwSOdA
12,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,ambient ,2,2021,electronic,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
13,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,experimental ,1,2021,experimental,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
14,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,jazz ,3,2021,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
15,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,symphony ,1,2021,classical,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
16,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,musical ,3,2021,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
17,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,avantgarde ,1,2021,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
18,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,blues ,1,2021,blues/soul,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
19,Patricia Brennan,Maquishti,Experimental,patricia brennan,maquishti,647,3,drone ,1,2021,rock/metal,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/60008fcbf70383df04602a66/1:1/w_320/Patricia-Brennan-Maquishti.jpg,,https://open.spotify.com/embed/album/52xnMW8ir7yfyuVzUSpeTZ
20,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,jazz ,7,2021,jazz,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
21,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,rock ,2,2021,rock/metal,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
22,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,singersongwriter ,1,2021,pop/r&b,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
23,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,noise ,2,2021,experimental,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
24,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,punk ,2,2021,punk,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
25,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,free jazz ,3,2021,jazz,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
26,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,indie ,1,2021,indiepop,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
27,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,indie rock ,1,2021,indiepop,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
28,Baldi/Gerycz Duo,After Commodore Perry Service Plaza,Jazz,baldi/gerycz duo,after commodore perry service plaza,560,4,minimal ,1,2021,jazz,2,"3: guitar, rock, sound, noise, guitarist, solo, melody, drum",https://media.pitchfork.com/photos/5ff4c5e0f1717d8f2370c083/1:1/w_320/Baldi_Gerycz_Duo_After_Commodore)Perry_Service_Plaza.jpg,,https://open.spotify.com/embed/album/7uxuFsYZuMU4rkuXQzlLHf
29,Roland Haynes,Second Wave,Jazz,roland haynes,second wave,956,5,jazz ,11,2020,jazz,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fe0c663b35e0eefa6919e00/1:1/w_320/second%20wave_roland%20haynes.jpg,,https://open.spotify.com/embed/album/0jo05N7Swo94pihmKgdPCf
30,Roland Haynes,Second Wave,Jazz,roland haynes,second wave,956,5,funk ,5,2020,funk/disco,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fe0c663b35e0eefa6919e00/1:1/w_320/second%20wave_roland%20haynes.jpg,,https://open.spotify.com/embed/album/0jo05N7Swo94pihmKgdPCf
31,Roland Haynes,Second Wave,Jazz,roland haynes,second wave,956,5,breaks ,2,2020,hiphop/rap,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fe0c663b35e0eefa6919e00/1:1/w_320/second%20wave_roland%20haynes.jpg,,https://open.spotify.com/embed/album/0jo05N7Swo94pihmKgdPCf
32,Roland Haynes,Second Wave,Jazz,roland haynes,second wave,956,5,free jazz ,2,2020,jazz,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fe0c663b35e0eefa6919e00/1:1/w_320/second%20wave_roland%20haynes.jpg,,https://open.spotify.com/embed/album/0jo05N7Swo94pihmKgdPCf
33,Roland Haynes,Second Wave,Jazz,roland haynes,second wave,956,5,blues ,1,2020,blues/soul,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fe0c663b35e0eefa6919e00/1:1/w_320/second%20wave_roland%20haynes.jpg,,https://open.spotify.com/embed/album/0jo05N7Swo94pihmKgdPCf
34,Winston C.W.,Good Guess,Pop/R&B,winston c.w.,good guess,705,6,singersongwriter ,2,2020,pop/r&b,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fe0c3f8f023c0a106f048b9/1:1/w_320/Good%20Guess_Winston%20C.W..jpg,,https://open.spotify.com/embed/album/76e0yvuj6mQqf9A4l2MxR1
35,Winston C.W.,Good Guess,Pop/R&B,winston c.w.,good guess,705,6,instrumental ,2,2020,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fe0c3f8f023c0a106f048b9/1:1/w_320/Good%20Guess_Winston%20C.W..jpg,,https://open.spotify.com/embed/album/76e0yvuj6mQqf9A4l2MxR1
36,Winston C.W.,Good Guess,Pop/R&B,winston c.w.,good guess,705,6,experimental ,1,2020,experimental,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fe0c3f8f023c0a106f048b9/1:1/w_320/Good%20Guess_Winston%20C.W..jpg,,https://open.spotify.com/embed/album/76e0yvuj6mQqf9A4l2MxR1
37,Winston C.W.,Good Guess,Pop/R&B,winston c.w.,good guess,705,6,swing ,1,2020,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fe0c3f8f023c0a106f048b9/1:1/w_320/Good%20Guess_Winston%20C.W..jpg,,https://open.spotify.com/embed/album/76e0yvuj6mQqf9A4l2MxR1
38,Jahari Massamba Unit,Pardon My French,Jazz,jahari massamba unit,pardon my french,569,7,experimental ,2,2020,experimental,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fd0f1e41ef00c5e1192ca3e/1:1/w_320/Pardon%20My%20French_Jahari%20Massamba%20Unit.jpg,,https://open.spotify.com/embed/album/5PQc2Gjmqk3KGPYtKbXNi0
39,Jahari Massamba Unit,Pardon My French,Jazz,jahari massamba unit,pardon my french,569,7,jazz ,3,2020,jazz,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fd0f1e41ef00c5e1192ca3e/1:1/w_320/Pardon%20My%20French_Jahari%20Massamba%20Unit.jpg,,https://open.spotify.com/embed/album/5PQc2Gjmqk3KGPYtKbXNi0
40,Jahari Massamba Unit,Pardon My French,Jazz,jahari massamba unit,pardon my french,569,7,breakbeat ,1,2020,hiphop/rap,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fd0f1e41ef00c5e1192ca3e/1:1/w_320/Pardon%20My%20French_Jahari%20Massamba%20Unit.jpg,,https://open.spotify.com/embed/album/5PQc2Gjmqk3KGPYtKbXNi0
41,Jahari Massamba Unit,Pardon My French,Jazz,jahari massamba unit,pardon my french,569,7,dance ,1,2020,pop/r&b,1,"2: beat, hiphop, track, sample, dj, drum, mix, rap, bass, production",https://media.pitchfork.com/photos/5fd0f1e41ef00c5e1192ca3e/1:1/w_320/Pardon%20My%20French_Jahari%20Massamba%20Unit.jpg,,https://open.spotify.com/embed/album/5PQc2Gjmqk3KGPYtKbXNi0
42,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,hiphop ,1,2020,hiphop/rap,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
43,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,folk ,1,2020,folk/country,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
44,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,country ,2,2020,folk/country,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
45,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,soul ,1,2020,blues/soul,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
46,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,jazz ,2,2020,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
47,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,ska ,1,2020,pop/r&b,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
48,Gil Scott-Heron,Pieces of a Man,Jazz,gil scott-heron,pieces of a man,1694,8,blues ,1,2020,blues/soul,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fcfc4d0c61c34a7841b204d/1:1/w_320/pieces%20of%20a%20man_gil%20scott-heron.jpeg,,https://open.spotify.com/embed/album/2YUoojiwp6nk5mBAUbEz9a
49,"Jusell, Prymek, Sage, Shiroishi",Fuubutsushi,Experimental,"jusell, prymek, sage, shiroishi",fuubutsushi (風物詩),810,9,jazz ,3,2020,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc6b3f1cecd494847656f1c/1:1/w_320/Fuubutsushi_M%20Sage,,https://open.spotify.com/embed/album/5hHBbAgkIY5dSL68oHIweT
50,"Jusell, Prymek, Sage, Shiroishi",Fuubutsushi,Experimental,"jusell, prymek, sage, shiroishi",fuubutsushi (風物詩),810,9,ambient ,3,2020,electronic,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc6b3f1cecd494847656f1c/1:1/w_320/Fuubutsushi_M%20Sage,,https://open.spotify.com/embed/album/5hHBbAgkIY5dSL68oHIweT
51,"Jusell, Prymek, Sage, Shiroishi",Fuubutsushi,Experimental,"jusell, prymek, sage, shiroishi",fuubutsushi (風物詩),810,9,folk ,2,2020,folk/country,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc6b3f1cecd494847656f1c/1:1/w_320/Fuubutsushi_M%20Sage,,https://open.spotify.com/embed/album/5hHBbAgkIY5dSL68oHIweT
52,"Jusell, Prymek, Sage, Shiroishi",Fuubutsushi,Experimental,"jusell, prymek, sage, shiroishi",fuubutsushi (風物詩),810,9,classical ,3,2020,classical,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc6b3f1cecd494847656f1c/1:1/w_320/Fuubutsushi_M%20Sage,,https://open.spotify.com/embed/album/5hHBbAgkIY5dSL68oHIweT
53,Dezron Douglas / Brandee Younger,Force Majeure,Jazz,dezron douglas / brandee younger,force majeure,834,10,jazz ,2,2020,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc7e7ecc61c34a7841b1ea8/1:1/w_320/Force%20Majeure_Dezron%20Douglas%20&%20Brandee%20Younger.jpg,,https://open.spotify.com/embed/album/4tz99ubmczLV62PUFRWqPs
54,Dezron Douglas / Brandee Younger,Force Majeure,Jazz,dezron douglas / brandee younger,force majeure,834,10,pop ,2,2020,pop/r&b,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc7e7ecc61c34a7841b1ea8/1:1/w_320/Force%20Majeure_Dezron%20Douglas%20&%20Brandee%20Younger.jpg,,https://open.spotify.com/embed/album/4tz99ubmczLV62PUFRWqPs
55,Dezron Douglas / Brandee Younger,Force Majeure,Jazz,dezron douglas / brandee younger,force majeure,834,10,gospel ,1,2020,pop/r&b,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc7e7ecc61c34a7841b1ea8/1:1/w_320/Force%20Majeure_Dezron%20Douglas%20&%20Brandee%20Younger.jpg,,https://open.spotify.com/embed/album/4tz99ubmczLV62PUFRWqPs
56,Dezron Douglas / Brandee Younger,Force Majeure,Jazz,dezron douglas / brandee younger,force majeure,834,10,musical ,1,2020,jazz,3,"4: horns, voice, singer, life, love, soul, people, day, world",https://media.pitchfork.com/photos/5fc7e7ecc61c34a7841b1ea8/1:1/w_320/Force%20Majeure_Dezron%20Douglas%20&%20Brandee%20Younger.jpg,,https://open.spotify.com/embed/album/4tz99ubmczLV62PUFRWqPs
57,Rob Mazurek / Exploding Star Orchestra,Dimensional Stardust,Jazz,rob mazurek / exploding star orchestra,dimensional stardust,692,11,jazz ,3,2020,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fbc3d59cd7af7fa472a043e/1:1/w_320/Dimensional%20Stardust_Rob%20Mazurek%20&%20Exploding%20Star%20Orchestra.jpg,,https://open.spotify.com/embed/album/5bPRKloL5BbHgeXAjNkkvI
58,Rob Mazurek / Exploding Star Orchestra,Dimensional Stardust,Jazz,rob mazurek / exploding star orchestra,dimensional stardust,692,11,avantgarde ,2,2020,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fbc3d59cd7af7fa472a043e/1:1/w_320/Dimensional%20Stardust_Rob%20Mazurek%20&%20Exploding%20Star%20Orchestra.jpg,,https://open.spotify.com/embed/album/5bPRKloL5BbHgeXAjNkkvI
59,Rob Mazurek / Exploding Star Orchestra,Dimensional Stardust,Jazz,rob mazurek / exploding star orchestra,dimensional stardust,692,11,experimental ,1,2020,experimental,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fbc3d59cd7af7fa472a043e/1:1/w_320/Dimensional%20Stardust_Rob%20Mazurek%20&%20Exploding%20Star%20Orchestra.jpg,,https://open.spotify.com/embed/album/5bPRKloL5BbHgeXAjNkkvI
60,Rob Mazurek / Exploding Star Orchestra,Dimensional Stardust,Jazz,rob mazurek / exploding star orchestra,dimensional stardust,692,11,classical ,1,2020,classical,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fbc3d59cd7af7fa472a043e/1:1/w_320/Dimensional%20Stardust_Rob%20Mazurek%20&%20Exploding%20Star%20Orchestra.jpg,,https://open.spotify.com/embed/album/5bPRKloL5BbHgeXAjNkkvI
61,Rob Mazurek / Exploding Star Orchestra,Dimensional Stardust,Jazz,rob mazurek / exploding star orchestra,dimensional stardust,692,11,avantgarde jazz ,1,2020,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fbc3d59cd7af7fa472a043e/1:1/w_320/Dimensional%20Stardust_Rob%20Mazurek%20&%20Exploding%20Star%20Orchestra.jpg,,https://open.spotify.com/embed/album/5bPRKloL5BbHgeXAjNkkvI
62,Rob Mazurek / Exploding Star Orchestra,Dimensional Stardust,Jazz,rob mazurek / exploding star orchestra,dimensional stardust,692,11,bossa nova ,1,2020,jazz,0,"1: piano, piece, composition,quartet, trumpet, solo, melody",https://media.pitchfork.com/photos/5fbc3d59cd7af7fa472a043e/1:1/w_320/Dimensional%20Stardust_Rob%20Mazurek%20&%20Exploding%20Star%20Orchestra.jpg,,https://open.spotify.com/embed/album/5bPRKloL5BbHgeXAjNkkvI
63,Badge Époque Ensemble,Self Help,Jazz,badge époque ensemble,self help,659,12,psychedelic ,2,2020,rock/metal,6,"7: fusion, group, member, guitarist, saxophonist, cover",https://media.pitchfork.com/photos/5fb2b72775036015cef9085d/1:1/w_320/self%20help_Badge%20E%CC%81poque%20Ensemble.jpg,,https://open.spotify.com/embed/album/4QLHFasRlpdX1Z5cOCFvNu
64,Badge Époque Ensemble,Self Help,Jazz,badge époque ensemble,self help,659,12,acid rock ,1,2020,rock/metal,6,"7: fusion, group, member, guitarist, saxophonist, cover",https://media.pitchfork.com/photos/5fb2b72775036015cef9085d/1:1/w_320/self%20help_Badge%20E%CC%81poque%20Ensemble.jpg,,https://open.spotify.com/embed/album/4QLHFasRlpdX1Z5cOCFvNu
65,Badge Époque Ensemble,Self Help,Jazz,badge époque ensemble,self help,659,12,rock ,1,2020,rock/metal,6,"7: fusion, group, member, guitarist, saxophonist, cover",https://media.pitchfork.com/photos/5fb2b72775036015cef9085d/1:1/w_320/self%20help_Badge%20E%CC%81poque%20Ensemble.jpg,,https://open.spotify.com/embed/album/4QLHFasRlpdX1Z5cOCFvNu
66,Badge Époque Ensemble,Self Help,Jazz,badge époque ensemble,self help,659,12,funk ,1,2020,funk/disco,6,"7: fusion, group, member, guitarist, saxophonist, cover",https://media.pitchfork.com/photos/5fb2b72775036015cef9085d/1:1/w_320/self%20help_Badge%20E%CC%81poque%20Ensemble.jpg,,https://open.spotify.com/embed/album/4QLHFasRlpdX1Z5cOCFvNu
67,Badge Époque Ensemble,Self Help,Jazz,badge époque ensemble,self help,659,12,jazz ,1,2020,jazz,6,"7: fusion, group, member, guitarist, saxophonist, cover",https://media.pitchfork.com/photos/5fb2b72775036015cef9085d/1:1/w_320/self%20help_Badge%20E%CC%81poque%20Ensemble.jpg,,https://open.spotify.com/embed/album/4QLHFasRlpdX1Z5cOCFvNu
